,artist,genre
0,Ed Sheeran,"['pop', 'uk pop']"
1,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
3,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
4,ZAYN,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
5,Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
6,Rae Sremmurd,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
7,Aminé,"['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']"
8,The Chainsmokers,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
9,Machine Gun Kelly,"['ohio hip hop', 'pop rap']"
10,Shelley FKA DRAM,"['alternative r&b', 'pop rap', 'rap', 'trap', 'underground hip hop', 'virginia hip hop']"
11,KYLE,"['pop', 'pop rap', 'rap', 'social media pop']"
12,Maroon 5,"['pop', 'pop rock']"
13,James Arthur,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
14,21 Savage,"['atl hip hop', 'rap', 'trap']"
15,Bruno Mars,"['dance pop', 'pop']"
16,J. Cole,"['conscious hip hop', 'north carolina hip hop', 'rap']"
17,Rob $tone,['san diego rap']
18,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
19,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']"
20,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
21,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']"
22,DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
23,Starley,"['aussietronica', 'pop dance', 'tropical house']"
24,Jon Bellion,['pop rap']
25,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
26,Hailee Steinfeld,"['dance pop', 'pop', 'post-teen pop']"
27,Twenty One Pilots,"['modern rock', 'rock']"
28,Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
29,John Legend,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
30,Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
31,Steve Aoki,"['dance pop', 'edm', 'electro house', 'pop dance', 'tropical house']"
32,Young M.A,"['lgbtq+ hip hop', 'nyc rap', 'pop rap', 'rap', 'trap']"
33,Childish Gambino,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
34,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
35,Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']"
36,G-Eazy,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
37,Rihanna,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']"
38,Sage The Gemini,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']"
39,AJR,"['modern rock', 'pop rap']"
40,Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
41,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
42,Gucci Mane,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
43,Noah Cyrus,"['alt z', 'dance pop', 'pop', 'post-teen pop']"
44,The Vamps,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
45,Travis Scott,"['rap', 'slap house']"
46,Kodak Black,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']"
47,Desiigner,"['pop rap', 'rap', 'trap', 'viral trap']"
48,Ugly God,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']"
49,PnB Rock,"['hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']"
50,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
51,Petit Biscuit,"['new french touch', 'tropical house']"
52,Post Malone,"['dfw rap', 'melodic rap', 'rap']"
53,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']"
54,PARTYNEXTDOOR,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']"
55,Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']"
56,Cashmere Cat,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']"
57,gnash,"['alt z', 'electropop', 'indie cafe pop', 'pop', 'social media pop']"
58,San Holo,"['edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'pop dance', 'pop edm', 'vapor twitch']"
59,Snakehips,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']"
60,Nebu Kiniza,"['melodic rap', 'plugg', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
61,DJ ESCO,"['atl hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
