,Unnamed: 0,song,songcode,artist,danceability,energy,acousticness
0,0,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,0.825,0.652,0.581
1,1,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Migos,0.927,0.665,0.061
2,2,Fake Love,343YBumqHu19cGoGARUTsd,Drake,0.928,0.481,0.105
3,3,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,0.461,0.834,0.0232
4,4,Starboy,5aAx2yezTd8zXrkmtKl66Z,"The Weeknd, Daft Punk",0.681,0.594,0.165
5,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0,"ZAYN, Taylor Swift",0.735,0.451,0.0631
6,6,Bounce Back,0SGkqnVQo9KPytSri1H6cF,Big Sean,0.78,0.575,0.106
7,7,Black Beatles,6fujklziTHa8uoM5OQSfIo,"Rae Sremmurd, Gucci Mane",0.794,0.632,0.142
8,8,Caroline,5GFDrUTLGJix84sNhjCG0g,Aminé,0.945,0.394,0.303
9,9,Closer,7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",0.748,0.524,0.414
10,10,Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,Machine Gun Kelly,0.697,0.691,0.214
11,11,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,"The Weeknd, Daft Punk",0.773,0.819,0.426
12,12,Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol,Shelley FKA DRAM,0.886,0.525,0.236
13,13,iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,KYLE,0.746,0.653,0.378
14,14,Don't Wanna Know,5MFzQMkrl1FOOng9tq6R9r,"Maroon 5, Kendrick Lamar",0.783,0.623,0.338
15,15,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,James Arthur,0.358,0.557,0.695
16,16,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,"21 Savage, Metro Boomin",0.835,0.413,0.373
17,17,24K Magic,6b8Be6ljOzmkOmFslEb23P,Bruno Mars,0.818,0.803,0.034
18,18,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,J. Cole,0.657,0.421,0.352
19,19,No Heart,4gmmRb6bZJffOOiww1JGTO,"21 Savage, Metro Boomin",0.906,0.444,0.136
20,20,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,Rob $tone,0.886,0.427,0.0312
21,21,Party Monster,4F7A0DXBrmUAkp32uenhZt,The Weeknd,0.573,0.63,0.189
22,22,One Dance,1xznGGDReH1oQq0xzbwXa3,"Drake, WizKid, Kyla",0.791,0.619,0.00784
23,23,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,"Drake, 21 Savage",0.806,0.558,0.00496
24,24,"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,Alessia Cara,0.314,0.555,0.157
