,genre,date,streams
0,"""childrens music""",2020-01-17,11882
1,"""childrens music""",2020-01-24,11780
2,"""childrens music""",2020-01-31,11366
3,"""childrens music""",2020-02-07,11128
4,"""preschool childrens music""",2020-01-17,11882
5,"""preschool childrens music""",2020-01-24,11780
6,"""preschool childrens music""",2020-01-31,11366
7,"""preschool childrens music""",2020-02-07,11128
8,a cappella,2017-11-24,1327700
9,a cappella,2017-12-01,3266779
10,a cappella,2017-12-08,3466196
11,a cappella,2017-12-15,3541409
12,a cappella,2017-12-22,3468840
13,a cappella,2018-11-23,1454894
14,a cappella,2018-11-30,2131375
15,a cappella,2018-12-14,2061954
16,a cappella,2018-12-21,2596455
17,a cappella,2019-11-29,2049288
18,a cappella,2019-12-06,265377
19,a cappella,2019-12-13,301061
20,a cappella,2019-12-20,5066017
21,a cappella,2020-12-04,258219
22,a cappella,2020-12-18,2459713
23,acoustic pop,2017-01-06,12613
24,acoustic pop,2017-01-13,12458
25,acoustic pop,2017-01-27,13845
26,acoustic pop,2017-02-03,13825
27,acoustic pop,2017-02-10,15170
28,acoustic pop,2017-02-17,15885
29,acoustic pop,2017-02-24,15210
30,acoustic pop,2017-03-03,16236
31,acoustic pop,2017-03-10,16245
32,acoustic pop,2017-03-17,14943
33,acoustic pop,2017-03-24,14522
34,acoustic pop,2017-03-31,14758
35,acoustic pop,2017-04-14,13575
36,acoustic pop,2017-04-21,14683
37,acoustic pop,2017-04-28,14459
38,acoustic pop,2017-05-05,14649
39,acoustic pop,2017-05-12,14325
40,acoustic pop,2017-06-16,14889
41,acoustic pop,2018-01-05,15428
42,acoustic pop,2018-01-12,15500
43,acoustic pop,2018-01-19,16084
44,acoustic pop,2018-02-02,15834
45,acoustic pop,2018-02-09,16584
46,acoustic pop,2018-03-02,16419
47,acoustic pop,2018-03-16,15331
48,acoustic pop,2018-03-30,45882
49,acoustic pop,2018-04-06,34372
50,acoustic pop,2018-04-13,51607
51,acoustic pop,2018-04-20,36307
52,acoustic pop,2018-04-27,34554
53,acoustic pop,2018-05-04,35745
54,acoustic pop,2018-05-11,50475
55,acoustic pop,2018-05-18,55025
56,acoustic pop,2018-05-25,59120
57,acoustic pop,2018-06-01,54449
58,acoustic pop,2018-06-08,52518
59,acoustic pop,2018-06-15,54556
60,acoustic pop,2018-06-22,75065
61,acoustic pop,2018-06-29,69800
62,acoustic pop,2018-07-06,199811
63,acoustic pop,2018-07-13,238460
64,acoustic pop,2018-07-20,224153
65,acoustic pop,2018-07-27,228954
66,acoustic pop,2018-08-03,233777
67,acoustic pop,2018-08-10,226893
68,acoustic pop,2018-08-17,517315
69,acoustic pop,2018-08-24,420609
70,acoustic pop,2018-08-31,430086
71,acoustic pop,2018-09-07,431125
72,acoustic pop,2018-09-14,238424
73,acoustic pop,2018-09-21,84351
74,acoustic pop,2018-09-28,217762
75,acoustic pop,2018-10-05,284841
76,acoustic pop,2018-10-12,287464
77,acoustic pop,2018-10-19,231097
78,acoustic pop,2018-10-26,229572
79,acoustic pop,2018-11-02,59522
80,acoustic pop,2018-11-09,59099
