,id,rank,song,date,artist,regioncode,songcode,streams
0,2020-12-18_1_us,1,Rockin' Around The Christmas Tree,2020-12-18,Brenda Lee,us,2EjXfH91m7f8HiJN1yQg97,"12,796,698"
1,2020-12-18_2_us,2,All I Want for Christmas Is You,2020-12-18,Mariah Carey,us,0bYg9bo50gSsH3LtXe2SQn,"11,853,295"
2,2020-12-18_3_us,3,Jingle Bell Rock,2020-12-18,Bobby Helms,us,7vQbuQcyTflfCIOu3Uzzya,"11,784,614"
3,2020-12-18_4_us,4,It's the Most Wonderful Time of the Year,2020-12-18,Andy Williams,us,1IcR6RlgvDczfvoWJSSY2A,"11,067,032"
4,2020-12-18_5_us,5,Last Christmas,2020-12-18,Wham!,us,2FRnf9qhLbvw8fu4IBXx78,"10,366,103"
5,2020-12-18_6_us,6,Santa Tell Me,2020-12-18,Ariana Grande,us,0lizgQ7Qw35od7CYaoMBZb,"10,044,856"
6,2020-12-18_7_us,7,It's Beginning to Look a Lot like Christmas,2020-12-18,Michael Bublé,us,0lLdorYw7lVrJydTINhWdI,"9,072,003"
7,2020-12-18_8_us,8,Underneath the Tree,2020-12-18,Kelly Clarkson,us,3nAp4IvdMPPWEH9uuXFFV5,"8,085,266"
8,2020-12-18_9_us,9,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),2020-12-18,Frank Sinatra,us,4kKdvXD0ez7jp1296JmAts,"7,548,477"
9,2020-12-18_10_us,10,A Holly Jolly Christmas - Single Version,2020-12-18,Burl Ives,us,77khP2fIVhSW23NwxrRluh,"7,517,216"
10,2020-12-18_11_us,11,Feliz Navidad,2020-12-18,José Feliciano,us,3qCeq0rWK67SoBDgFd2sId,"7,250,451"
11,2020-12-18_12_us,12,The Christmas Song (Merry Christmas To You),2020-12-18,Nat King Cole,us,4PS1e8f2LvuTFgUs1Cn3ON,"7,169,958"
12,2020-12-18_13_us,13,Let It Snow! Let It Snow! Let It Snow!,2020-12-18,Dean Martin,us,2uFaJJtFpPDc5Pa95XzTvg,"6,835,631"
13,2020-12-18_14_us,14,Sleigh Ride,2020-12-18,The Ronettes,us,7fUYUcWy853HS8YJn0b3Sr,"6,690,865"
14,2020-12-18_15_us,15,Mistletoe,2020-12-18,Justin Bieber,us,7xapw9Oy21WpfEcib2ErSA,"6,363,918"
